Invoice ID,Invoice Number,Invoice Date,Due Date,Customer ID,Customer Name,Customer GSTIN,Place of Supply,Status,Currency Code,Exchange Rate,Item ID,Item Name,SKU,Sales Account,Quantity,Rate,Discount,Tax Name,Tax Percentage,Tax Amount,SubTotal,Total,Balance,Salesperson,Branch,Reference Number,Notes
ZI-1016,INV-1016,2025-05-18,2025-07-02,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Overdue,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,59,3202,0,GST 18%,18,34005.24,188918,222923.24,222923.24,K. Mehta,Mumbai,SO-7041,Synthetic Zoho-style export
ZI-1017,INV-1017,2025-05-10,2025-05-25,CUST-005,Eastline Traders,10ABCDE5234K1Z8,Bihar,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,44,1635,1500,GST 18%,18,12679.2,70440,83119.2,0,R. Singh,Ahmedabad,SO-7614,Synthetic Zoho-style export
ZI-1018,INV-1018,2025-05-23,2025-06-22,CUST-003,City Bazaar Pvt Ltd,19AACCC3234H1Z7,West Bengal,Partially Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,98,3209,500,GST 18%,18,56516.76,313982,370498.76,185249.38,K. Mehta,Bengaluru,SO-9407,Synthetic Zoho-style export
ZI-1019,INV-1019,2025-05-06,2025-05-21,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,55,2099,1500,GST 18%,18,20510.1,113945,134455.1,0,A. Shah,Bengaluru,SO-9923,Synthetic Zoho-style export
ZI-1020,INV-1020,2025-05-18,2025-06-02,CUST-008,Harbor Mart,36ABCDE8234N1Z5,Telangana,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,99,2212,0,GST 18%,18,39417.84,218988,258405.84,0,K. Mehta,Mumbai,SO-9506,Synthetic Zoho-style export
ZI-1021,INV-1021,2025-06-01,2025-06-16,CUST-010,Jupiter Wholesale,09AACCJ0234Q1Z6,Uttar Pradesh,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,75,2089,1000,GST 18%,18,28021.5,155675,183696.5,0,K. Mehta,Mumbai,SO-7283,Synthetic Zoho-style export
ZI-1022,INV-1022,2025-06-17,2025-07-02,CUST-010,Jupiter Wholesale,09AACCJ0234Q1Z6,Uttar Pradesh,Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,78,3099,1000,GST 18%,18,43329.96,240722,284051.96,0,K. Mehta,Bengaluru,SO-7353,Synthetic Zoho-style export
ZI-1023,INV-1023,2025-06-16,2025-07-16,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,55,1352,0,GST 18%,18,13384.8,74360,87744.8,0,A. Shah,Mumbai,SO-9976,Synthetic Zoho-style export
ZI-1024,INV-1024,2025-06-21,2025-07-06,CUST-010,Jupiter Wholesale,09AACCJ0234Q1Z6,Uttar Pradesh,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,36,1852,0,GST 18%,18,12000.96,66672,78672.96,0,R. Singh,Delhi,SO-8756,Synthetic Zoho-style export
ZI-1025,INV-1025,2025-06-23,2025-07-23,CUST-003,City Bazaar Pvt Ltd,19AACCC3234H1Z7,West Bengal,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,94,2367,0,GST 18%,18,40049.64,222498,262547.64,0,K. Mehta,Ahmedabad,SO-8833,Synthetic Zoho-style export
ZI-1026,INV-1026,2025-06-09,2025-07-09,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Overdue,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,35,1852,0,GST 18%,18,11667.6,64820,76487.6,76487.6,R. Singh,Bengaluru,SO-9068,Synthetic Zoho-style export
ZI-1027,INV-1027,2025-06-22,2025-08-06,CUST-010,Jupiter Wholesale,09AACCJ0234Q1Z6,Uttar Pradesh,Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,98,1320,500,GST 18%,18,23194.8,128860,152054.8,0,K. Mehta,Bengaluru,SO-9627,Synthetic Zoho-style export
ZI-1028,INV-1028,2025-06-20,2025-07-05,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,63,1689,1500,GST 18%,18,18883.26,104907,123790.26,37137.08,A. Shah,Delhi,SO-7171,Synthetic Zoho-style export
ZI-1029,INV-1029,2025-06-26,2025-07-26,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,33,2192,0,GST 18%,18,13020.48,72336,85356.48,0,A. Shah,Mumbai,SO-8659,Synthetic Zoho-style export
ZI-1030,INV-1030,2025-06-02,2025-07-17,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Overdue,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,72,1203,0,GST 18%,18,15590.88,86616,102206.88,102206.88,A. Shah,Mumbai,SO-7128,Synthetic Zoho-style export
ZI-1031,INV-1031,2025-07-19,2025-08-03,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,37,1711,0,GST 18%,18,11395.26,63307,74702.26,22410.68,A. Shah,Ahmedabad,SO-9082,Synthetic Zoho-style export
ZI-1032,INV-1032,2025-07-03,2025-08-02,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,107,1666,0,GST 18%,18,32087.16,178262,210349.16,0,K. Mehta,Kolkata,SO-9343,Synthetic Zoho-style export
ZI-1033,INV-1033,2025-07-26,2025-08-10,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Overdue,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,26,3042,0,GST 18%,18,14236.56,79092,93328.56,93328.56,A. Shah,Delhi,SO-7494,Synthetic Zoho-style export
ZI-1034,INV-1034,2025-07-22,2025-08-21,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,101,1963,0,GST 18%,18,35687.34,198263,233950.34,0,K. Mehta,Mumbai,SO-8719,Synthetic Zoho-style export
ZI-1035,INV-1035,2025-07-09,2025-08-08,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,65,2154,1500,GST 18%,18,24931.8,138510,163441.8,0,A. Shah,Kolkata,SO-7766,Synthetic Zoho-style export
ZI-1036,INV-1036,2025-07-21,2025-08-05,CUST-010,Jupiter Wholesale,09AACCJ0234Q1Z6,Uttar Pradesh,Partially Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,65,3078,1500,GST 18%,18,35742.6,198570,234312.6,70293.78,A. Shah,Bengaluru,SO-9282,Synthetic Zoho-style export
ZI-1037,INV-1037,2025-07-06,2025-07-21,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,88,2203,1500,GST 18%,18,34625.52,192364,226989.52,0,K. Mehta,Bengaluru,SO-7162,Synthetic Zoho-style export
ZI-1038,INV-1038,2025-07-13,2025-08-12,CUST-010,Jupiter Wholesale,09AACCJ0234Q1Z6,Uttar Pradesh,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,72,1667,500,GST 18%,18,21514.32,119524,141038.32,0,K. Mehta,Mumbai,SO-7997,Synthetic Zoho-style export
ZI-1039,INV-1039,2025-07-03,2025-08-17,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,27,1919,0,GST 18%,18,9326.34,51813,61139.34,30569.67,K. Mehta,Delhi,SO-9509,Synthetic Zoho-style export
ZI-1040,INV-1040,2025-07-25,2025-08-09,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Overdue,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,58,2139,0,GST 18%,18,22331.16,124062,146393.16,146393.16,A. Shah,Bengaluru,SO-8989,Synthetic Zoho-style export
ZI-1041,INV-1041,2025-08-18,2025-10-02,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Partially Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,90,3256,1500,GST 18%,18,52477.2,291540,344017.2,172008.6,K. Mehta,Ahmedabad,SO-9021,Synthetic Zoho-style export
ZI-1042,INV-1042,2025-08-14,2025-09-28,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,108,1961,0,GST 18%,18,38121.84,211788,249909.84,74972.95,K. Mehta,Bengaluru,SO-8379,Synthetic Zoho-style export
ZI-1043,INV-1043,2025-08-06,2025-08-21,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,81,1221,0,GST 18%,18,17802.18,98901,116703.18,35010.95,A. Shah,Ahmedabad,SO-8260,Synthetic Zoho-style export
ZI-1044,INV-1044,2025-08-14,2025-08-29,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,76,1237,1000,GST 18%,18,16742.16,93012,109754.16,54877.08,A. Shah,Mumbai,SO-7863,Synthetic Zoho-style export
ZI-1045,INV-1045,2025-08-18,2025-10-02,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,63,1891,500,GST 18%,18,21353.94,118633,139986.94,69993.47,A. Shah,Mumbai,SO-9058,Synthetic Zoho-style export
ZI-1046,INV-1046,2025-08-07,2025-09-06,CUST-001,Apex Retail Pvt Ltd,24ABCDE1234F1Z5,Gujarat,Overdue,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,54,2333,0,GST 18%,18,22676.76,125982,148658.76,148658.76,K. Mehta,Mumbai,SO-7581,Synthetic Zoho-style export
ZI-1047,INV-1047,2025-08-19,2025-10-03,CUST-001,Apex Retail Pvt Ltd,24ABCDE1234F1Z5,Gujarat,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,65,1966,1500,GST 18%,18,22732.2,126290,149022.2,74511.1,R. Singh,Kolkata,SO-7680,Synthetic Zoho-style export
ZI-1048,INV-1048,2025-08-07,2025-09-21,CUST-003,City Bazaar Pvt Ltd,19AACCC3234H1Z7,West Bengal,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,99,1950,0,GST 18%,18,34749,193050,227799,68339.7,A. Shah,Kolkata,SO-8413,Synthetic Zoho-style export
ZI-1049,INV-1049,2025-08-03,2025-08-18,CUST-003,City Bazaar Pvt Ltd,19AACCC3234H1Z7,West Bengal,Overdue,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,81,2296,0,GST 18%,18,33475.68,185976,219451.68,219451.68,R. Singh,Mumbai,SO-9978,Synthetic Zoho-style export
ZI-1050,INV-1050,2025-08-23,2025-09-07,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,90,1353,0,GST 18%,18,21918.6,121770,143688.6,71844.3,A. Shah,Mumbai,SO-8202,Synthetic Zoho-style export
ZI-1051,INV-1051,2025-09-15,2025-10-15,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,90,1632,1000,GST 18%,18,26258.4,145880,172138.4,0,K. Mehta,Ahmedabad,SO-9725,Synthetic Zoho-style export
ZI-1052,INV-1052,2025-09-21,2025-10-06,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,44,1648,0,GST 18%,18,13052.16,72512,85564.16,0,R. Singh,Ahmedabad,SO-8562,Synthetic Zoho-style export
ZI-1053,INV-1053,2025-09-06,2025-09-21,CUST-008,Harbor Mart,36ABCDE8234N1Z5,Telangana,Overdue,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,99,1180,1000,GST 18%,18,20847.6,115820,136667.6,136667.6,A. Shah,Ahmedabad,SO-7103,Synthetic Zoho-style export
ZI-1054,INV-1054,2025-09-22,2025-10-07,CUST-005,Eastline Traders,10ABCDE5234K1Z8,Bihar,Overdue,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,54,2213,1500,GST 18%,18,21240.36,118002,139242.36,139242.36,A. Shah,Bengaluru,SO-7741,Synthetic Zoho-style export
ZI-1055,INV-1055,2025-09-20,2025-10-20,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,37,3183,1500,GST 18%,18,20928.78,116271,137199.78,0,R. Singh,Mumbai,SO-7803,Synthetic Zoho-style export
ZI-1056,INV-1056,2025-09-15,2025-10-15,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Partially Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,43,2213,1000,GST 18%,18,16948.62,94159,111107.62,33332.29,A. Shah,Bengaluru,SO-9787,Synthetic Zoho-style export
ZI-1057,INV-1057,2025-09-23,2025-10-08,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,68,1750,1000,GST 18%,18,21240,118000,139240,69620,A. Shah,Ahmedabad,SO-8406,Synthetic Zoho-style export
ZI-1058,INV-1058,2025-09-22,2025-10-22,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Partially Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,110,2303,500,GST 18%,18,45509.4,252830,298339.4,89501.82,K. Mehta,Delhi,SO-9287,Synthetic Zoho-style export
ZI-1059,INV-1059,2025-09-09,2025-09-24,CUST-010,Jupiter Wholesale,09AACCJ0234Q1Z6,Uttar Pradesh,Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,92,3133,500,GST 18%,18,51792.48,287736,339528.48,0,K. Mehta,Kolkata,SO-8498,Synthetic Zoho-style export
ZI-1060,INV-1060,2025-09-02,2025-10-02,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Overdue,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,96,1754,1000,GST 18%,18,30129.12,167384,197513.12,197513.12,A. Shah,Mumbai,SO-7734,Synthetic Zoho-style export
ZI-1061,INV-1061,2025-10-17,2025-11-01,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,108,1993,1000,GST 18%,18,38563.92,214244,252807.92,0,K. Mehta,Mumbai,SO-8866,Synthetic Zoho-style export
ZI-1062,INV-1062,2025-10-03,2025-11-17,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,36,2384,500,GST 18%,18,15358.32,85324,100682.32,0,R. Singh,Kolkata,SO-8567,Synthetic Zoho-style export
ZI-1063,INV-1063,2025-10-19,2025-11-18,CUST-001,Apex Retail Pvt Ltd,24ABCDE1234F1Z5,Gujarat,Partially Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,27,3207,1000,GST 18%,18,15406.02,85589,100995.02,30298.51,A. Shah,Bengaluru,SO-8749,Synthetic Zoho-style export
ZI-1064,INV-1064,2025-10-15,2025-10-30,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,69,2379,0,GST 18%,18,29547.18,164151,193698.18,0,K. Mehta,Delhi,SO-9896,Synthetic Zoho-style export
ZI-1065,INV-1065,2025-10-26,2025-11-10,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,33,3228,1500,GST 18%,18,18904.32,105024,123928.32,0,A. Shah,Bengaluru,SO-9274,Synthetic Zoho-style export
ZI-1066,INV-1066,2025-10-24,2025-11-08,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Overdue,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,21,2386,500,GST 18%,18,8929.08,49606,58535.08,58535.08,R. Singh,Bengaluru,SO-7866,Synthetic Zoho-style export
ZI-1067,INV-1067,2025-10-05,2025-11-04,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Overdue,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,80,1456,1500,GST 18%,18,20696.4,114980,135676.4,135676.4,R. Singh,Bengaluru,SO-9518,Synthetic Zoho-style export
ZI-1068,INV-1068,2025-10-12,2025-10-27,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,59,1785,500,GST 18%,18,18866.7,104815,123681.7,0,R. Singh,Ahmedabad,SO-7378,Synthetic Zoho-style export
ZI-1069,INV-1069,2025-10-05,2025-11-04,CUST-005,Eastline Traders,10ABCDE5234K1Z8,Bihar,Partially Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,106,2362,0,GST 18%,18,45066.96,250372,295438.96,88631.69,K. Mehta,Delhi,SO-7412,Synthetic Zoho-style export
ZI-1070,INV-1070,2025-10-11,2025-11-10,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,87,2098,500,GST 18%,18,32764.68,182026,214790.68,0,K. Mehta,Bengaluru,SO-8008,Synthetic Zoho-style export
ZI-1071,INV-1071,2025-11-06,2025-12-06,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,40,1448,0,GST 18%,18,10425.6,57920,68345.6,20503.68,A. Shah,Delhi,SO-7472,Synthetic Zoho-style export
ZI-1072,INV-1072,2025-11-23,2025-12-23,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Overdue,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,75,1381,1000,GST 18%,18,18463.5,102575,121038.5,121038.5,R. Singh,Ahmedabad,SO-9587,Synthetic Zoho-style export
ZI-1073,INV-1073,2025-11-08,2025-11-23,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,53,2285,1500,GST 18%,18,21528.9,119605,141133.9,0,R. Singh,Mumbai,SO-9946,Synthetic Zoho-style export
ZI-1074,INV-1074,2025-11-23,2025-12-08,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,44,1375,0,GST 18%,18,10890,60500,71390,35695,A. Shah,Delhi,SO-7896,Synthetic Zoho-style export
ZI-1075,INV-1075,2025-11-06,2025-12-06,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Overdue,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,43,1141,500,GST 18%,18,8741.34,48563,57304.34,57304.34,A. Shah,Delhi,SO-7788,Synthetic Zoho-style export
ZI-1076,INV-1076,2025-11-07,2025-12-07,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,49,1355,1000,GST 18%,18,11771.1,65395,77166.1,38583.05,A. Shah,Kolkata,SO-9464,Synthetic Zoho-style export
ZI-1077,INV-1077,2025-11-17,2025-12-02,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,30,1903,1500,GST 18%,18,10006.2,55590,65596.2,0,R. Singh,Kolkata,SO-8796,Synthetic Zoho-style export
ZI-1078,INV-1078,2025-11-09,2025-12-24,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Overdue,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,102,1245,0,GST 18%,18,22858.2,126990,149848.2,149848.2,A. Shah,Delhi,SO-8969,Synthetic Zoho-style export
ZI-1079,INV-1079,2025-11-23,2025-12-23,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,52,2000,1500,GST 18%,18,18450,102500,120950,0,R. Singh,Delhi,SO-7602,Synthetic Zoho-style export
ZI-1080,INV-1080,2025-11-02,2025-11-17,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,79,1664,1500,GST 18%,18,23392.08,129956,153348.08,46004.42,A. Shah,Ahmedabad,SO-8327,Synthetic Zoho-style export
ZI-1081,INV-1081,2025-12-05,2026-01-04,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,76,1269,500,GST 18%,18,17269.92,95944,113213.92,0,K. Mehta,Kolkata,SO-9400,Synthetic Zoho-style export
ZI-1082,INV-1082,2025-12-10,2026-01-09,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,98,1973,0,GST 18%,18,34803.72,193354,228157.72,0,K. Mehta,Ahmedabad,SO-7985,Synthetic Zoho-style export
