Expense ID,Expense Date,Expense Account,Paid Through,Vendor ID,Vendor Name,GST Treatment,Tax Name,Tax Percentage,Tax Amount,SubTotal,Total,Payment Mode,Reference Number,Department,Branch,Description
ZE-8030,2025-08-16,Software Subscription,ICICI Bank Current A/c,VEND-008,Horizon Security,Registered Business - Regular,GST 18%,18,10800,60000,70800,Corporate Card,EXPREF-8030,Administration,Bengaluru,Synthetic operating expense
ZE-8031,2025-09-05,Software Subscription,HDFC Bank Current A/c,VEND-008,Horizon Security,Registered Business - Regular,GST 18%,18,9900,55000,64900,Bank Transfer,EXPREF-8031,Administration,Bengaluru,Synthetic operating expense
ZE-8032,2025-09-18,Travel Expense,HDFC Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 5%,5,2100,42000,44100,Bank Transfer,EXPREF-8032,Administration,Kolkata,Synthetic operating expense
ZE-8033,2025-09-10,Office Supplies,HDFC Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 18%,18,7200,40000,47200,UPI,EXPREF-8033,Sales,Bengaluru,Synthetic operating expense
ZE-8034,2025-09-09,Software Subscription,HDFC Bank Current A/c,VEND-003,Crest Logistics,Non-GST,No Tax,0,0,40000,40000,UPI,EXPREF-8034,Finance,Ahmedabad,Synthetic operating expense
ZE-8035,2025-09-16,Travel Expense,HDFC Bank Current A/c,VEND-008,Horizon Security,Registered Business - Regular,GST 5%,5,2050,41000,43050,Bank Transfer,EXPREF-8035,Administration,Delhi,Synthetic operating expense
ZE-8036,2025-09-04,Repairs & Maintenance,HDFC Bank Current A/c,VEND-005,Evergreen Technologies,Non-GST,No Tax,0,0,48000,48000,Bank Transfer,EXPREF-8036,Sales,Kolkata,Synthetic operating expense
ZE-8037,2025-10-19,Software Subscription,ICICI Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 5%,5,1600,32000,33600,UPI,EXPREF-8037,Sales,Delhi,Synthetic operating expense
ZE-8038,2025-10-13,Office Supplies,ICICI Bank Current A/c,VEND-004,Dyna Services,Registered Business - Regular,GST 18%,18,9180,51000,60180,UPI,EXPREF-8038,Finance,Bengaluru,Synthetic operating expense
ZE-8039,2025-10-24,Repairs & Maintenance,HDFC Bank Current A/c,VEND-004,Dyna Services,Registered Business - Regular,GST 18%,18,7920,44000,51920,Bank Transfer,EXPREF-8039,Operations,Bengaluru,Synthetic operating expense
ZE-8040,2025-10-19,Travel Expense,HDFC Bank Current A/c,VEND-001,Alpha Supplies Pvt Ltd,Non-GST,No Tax,0,0,10000,10000,UPI,EXPREF-8040,Administration,Kolkata,Synthetic operating expense
ZE-8041,2025-10-12,Repairs & Maintenance,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Non-GST,No Tax,0,0,24000,24000,Bank Transfer,EXPREF-8041,Finance,Kolkata,Synthetic operating expense
ZE-8042,2025-10-02,Marketing Expense,HDFC Bank Current A/c,VEND-002,BoxPro Materials,Non-GST,No Tax,0,0,75000,75000,Corporate Card,EXPREF-8042,Technology,Mumbai,Synthetic operating expense
ZE-8043,2025-11-03,Office Supplies,ICICI Bank Current A/c,VEND-007,Global Packaging,Registered Business - Regular,GST 5%,5,3650,73000,76650,Bank Transfer,EXPREF-8043,Finance,Bengaluru,Synthetic operating expense
ZE-8044,2025-11-15,Repairs & Maintenance,ICICI Bank Current A/c,VEND-005,Evergreen Technologies,Non-GST,No Tax,0,0,79000,79000,Corporate Card,EXPREF-8044,Sales,Kolkata,Synthetic operating expense
ZE-8045,2025-11-05,Office Supplies,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 18%,18,3240,18000,21240,Corporate Card,EXPREF-8045,Operations,Mumbai,Synthetic operating expense
ZE-8046,2025-11-26,Travel Expense,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 18%,18,4320,24000,28320,Bank Transfer,EXPREF-8046,Sales,Ahmedabad,Synthetic operating expense
ZE-8047,2025-11-01,Office Supplies,ICICI Bank Current A/c,VEND-007,Global Packaging,Registered Business - Regular,GST 5%,5,1000,20000,21000,Bank Transfer,EXPREF-8047,Administration,Kolkata,Synthetic operating expense
ZE-8048,2025-11-26,Software Subscription,HDFC Bank Current A/c,VEND-001,Alpha Supplies Pvt Ltd,Non-GST,No Tax,0,0,30000,30000,Corporate Card,EXPREF-8048,Technology,Ahmedabad,Synthetic operating expense
ZE-8049,2025-12-21,Marketing Expense,ICICI Bank Current A/c,VEND-001,Alpha Supplies Pvt Ltd,Non-GST,No Tax,0,0,67000,67000,Corporate Card,EXPREF-8049,Technology,Bengaluru,Synthetic operating expense
ZE-8050,2025-12-08,Software Subscription,HDFC Bank Current A/c,VEND-007,Global Packaging,Registered Business - Regular,GST 18%,18,9720,54000,63720,UPI,EXPREF-8050,Technology,Ahmedabad,Synthetic operating expense
ZE-8051,2025-12-01,Office Supplies,ICICI Bank Current A/c,VEND-006,FastTrack Transport,Non-GST,No Tax,0,0,38000,38000,Bank Transfer,EXPREF-8051,Administration,Kolkata,Synthetic operating expense
ZE-8052,2025-12-02,Office Supplies,ICICI Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 5%,5,950,19000,19950,Bank Transfer,EXPREF-8052,Finance,Ahmedabad,Synthetic operating expense
ZE-8053,2025-12-21,Software Subscription,HDFC Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 18%,18,5220,29000,34220,Corporate Card,EXPREF-8053,Finance,Delhi,Synthetic operating expense
ZE-8054,2025-12-06,Travel Expense,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 5%,5,3600,72000,75600,Corporate Card,EXPREF-8054,Finance,Kolkata,Synthetic operating expense
ZE-8055,2026-01-06,Office Supplies,ICICI Bank Current A/c,VEND-008,Horizon Security,Non-GST,No Tax,0,0,15000,15000,Bank Transfer,EXPREF-8055,Technology,Bengaluru,Synthetic operating expense
ZE-8056,2026-01-23,Software Subscription,HDFC Bank Current A/c,VEND-003,Crest Logistics,Registered Business - Regular,GST 5%,5,1300,26000,27300,UPI,EXPREF-8056,Administration,Delhi,Synthetic operating expense
ZE-8057,2026-01-12,Marketing Expense,HDFC Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 5%,5,1150,23000,24150,UPI,EXPREF-8057,Technology,Delhi,Synthetic operating expense
ZE-8058,2026-01-01,Office Supplies,ICICI Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 18%,18,13860,77000,90860,Bank Transfer,EXPREF-8058,Sales,Mumbai,Synthetic operating expense
ZE-8059,2026-01-04,Software Subscription,HDFC Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 5%,5,1900,38000,39900,UPI,EXPREF-8059,Operations,Bengaluru,Synthetic operating expense
ZE-8060,2026-01-24,Software Subscription,HDFC Bank Current A/c,VEND-004,Dyna Services,Registered Business - Regular,GST 5%,5,700,14000,14700,Corporate Card,EXPREF-8060,Sales,Ahmedabad,Synthetic operating expense
ZE-8061,2026-02-15,Travel Expense,HDFC Bank Current A/c,VEND-006,FastTrack Transport,Non-GST,No Tax,0,0,55000,55000,Bank Transfer,EXPREF-8061,Operations,Kolkata,Synthetic operating expense
ZE-8062,2026-02-06,Marketing Expense,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 18%,18,3780,21000,24780,UPI,EXPREF-8062,Operations,Ahmedabad,Synthetic operating expense
ZE-8063,2026-02-05,Marketing Expense,ICICI Bank Current A/c,VEND-003,Crest Logistics,Registered Business - Regular,GST 18%,18,9900,55000,64900,Bank Transfer,EXPREF-8063,Finance,Bengaluru,Synthetic operating expense
ZE-8064,2026-02-05,Travel Expense,ICICI Bank Current A/c,VEND-007,Global Packaging,Registered Business - Regular,GST 18%,18,8460,47000,55460,UPI,EXPREF-8064,Sales,Mumbai,Synthetic operating expense
ZE-8065,2026-02-21,Marketing Expense,HDFC Bank Current A/c,VEND-005,Evergreen Technologies,Non-GST,No Tax,0,0,73000,73000,UPI,EXPREF-8065,Sales,Bengaluru,Synthetic operating expense
ZE-8066,2026-02-01,Repairs & Maintenance,ICICI Bank Current A/c,VEND-006,FastTrack Transport,Non-GST,No Tax,0,0,40000,40000,Corporate Card,EXPREF-8066,Finance,Ahmedabad,Synthetic operating expense
ZE-8067,2026-03-25,Travel Expense,HDFC Bank Current A/c,VEND-001,Alpha Supplies Pvt Ltd,Non-GST,No Tax,0,0,46000,46000,Bank Transfer,EXPREF-8067,Finance,Delhi,Synthetic operating expense
ZE-8068,2026-03-08,Travel Expense,HDFC Bank Current A/c,VEND-004,Dyna Services,Registered Business - Regular,GST 5%,5,3150,63000,66150,Corporate Card,EXPREF-8068,Administration,Ahmedabad,Synthetic operating expense
ZE-8069,2026-03-15,Office Supplies,HDFC Bank Current A/c,VEND-007,Global Packaging,Registered Business - Regular,GST 5%,5,1250,25000,26250,UPI,EXPREF-8069,Technology,Mumbai,Synthetic operating expense
ZE-8070,2026-03-20,Marketing Expense,ICICI Bank Current A/c,VEND-001,Alpha Supplies Pvt Ltd,Non-GST,No Tax,0,0,11000,11000,Corporate Card,EXPREF-8070,Administration,Kolkata,Synthetic operating expense
ZE-8071,2026-03-14,Travel Expense,HDFC Bank Current A/c,VEND-003,Crest Logistics,Registered Business - Regular,GST 5%,5,1300,26000,27300,Corporate Card,EXPREF-8071,Technology,Bengaluru,Synthetic operating expense
ZE-8072,2026-03-22,Travel Expense,ICICI Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 5%,5,2050,41000,43050,UPI,EXPREF-8072,Sales,Bengaluru,Synthetic operating expense
