Bill ID,Bill Number,Bill Date,Due Date,Vendor ID,Vendor Name,Vendor GSTIN,Source of Supply,Status,Currency Code,Exchange Rate,Expense Account,Item Description,Quantity,Rate,Tax Name,Tax Percentage,Tax Amount,SubTotal,Total,Balance,Purchase Order Number,GRN Number,Department,Branch,Reference Number,Notes
ZB-2041,BILL-2041,2025-09-21,2025-10-21,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Partially Paid,INR,1,Professional Fees,Transport service,62,2066,GST 18%,18,23056.56,128092,151148.56,75574.28,PO-5621,GRN-6832,Finance,Bengaluru,VR-9995,Synthetic Zoho-style export
ZB-2042,BILL-2042,2025-09-04,2025-09-19,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Partially Paid,INR,1,Freight & Delivery,Transport service,16,2302,GST 18%,18,6629.76,36832,43461.76,21730.88,PO-4890,GRN-5065,Sales,Bengaluru,VR-3621,Synthetic Zoho-style export
ZB-2043,BILL-2043,2025-09-25,2025-11-09,VEND-004,Dyna Services,07AADCD4444D1Z4,Delhi,Overdue,INR,1,Freight & Delivery,Transport service,62,2168,GST 18%,18,24194.88,134416,158610.88,158610.88,PO-4770,GRN-6596,Administration,Mumbai,VR-7967,Synthetic Zoho-style export
ZB-2044,BILL-2044,2025-09-07,2025-09-22,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Paid,INR,1,Freight & Delivery,Facility service,65,2945,GST 18%,18,34456.5,191425,225881.5,0,PO-6459,GRN-5289,Administration,Kolkata,VR-2984,Synthetic Zoho-style export
ZB-2045,BILL-2045,2025-09-10,2025-10-10,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Paid,INR,1,Freight & Delivery,Packaging material,29,2043,GST 18%,18,10664.46,59247,69911.46,0,PO-4875,GRN-5247,Operations,Delhi,VR-4033,Synthetic Zoho-style export
ZB-2046,BILL-2046,2025-09-11,2025-10-11,VEND-008,Horizon Security,,Gujarat,Paid,INR,1,Professional Fees,Transport service,33,2061,GST 18%,18,12242.34,68013,80255.34,0,PO-4967,GRN-5030,Administration,Mumbai,VR-3684,Vendor GSTIN intentionally blank for validation practice
ZB-2047,BILL-2047,2025-09-23,2025-11-07,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Partially Paid,INR,1,Repairs & Maintenance,Transport service,22,2208,GST 18%,18,8743.68,48576,57319.68,28659.84,PO-4684,GRN-5940,Technology,Bengaluru,VR-1649,Synthetic Zoho-style export
ZB-2048,BILL-2048,2025-09-19,2025-10-04,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Partially Paid,INR,1,Repairs & Maintenance,Technology service,12,2923,GST 18%,18,6313.68,35076,41389.68,20694.84,PO-6078,GRN-6690,Operations,Bengaluru,VR-3699,Synthetic Zoho-style export
ZB-2049,BILL-2049,2025-10-16,2025-10-31,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Paid,INR,1,Freight & Delivery,Technology service,23,2673,GST 18%,18,11066.22,61479,72545.22,0,PO-5620,GRN-4947,Operations,Mumbai,VR-6791,Synthetic Zoho-style export
ZB-2050,BILL-2050,2025-10-18,2025-11-17,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Partially Paid,INR,1,Repairs & Maintenance,Packaging material,12,1673,GST 18%,18,3613.68,20076,23689.68,11844.84,PO-5991,GRN-6509,Technology,Ahmedabad,VR-7130,Synthetic Zoho-style export
ZB-2051,BILL-2051,2025-10-13,2025-11-27,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Paid,INR,1,Purchases,Technology service,20,2169,GST 18%,18,7808.4,43380,51188.4,0,PO-5702,GRN-5783,Administration,Bengaluru,VR-1491,Synthetic Zoho-style export
ZB-2052,BILL-2052,2025-10-20,2025-11-19,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Professional Fees,Technology service,86,1784,GST 18%,18,27616.32,153424,181040.32,0,PO-4655,GRN-6992,Operations,Delhi,VR-8378,Synthetic Zoho-style export
ZB-2053,BILL-2053,2025-10-18,2025-11-17,VEND-004,Dyna Services,07AADCD4444D1Z4,Delhi,Overdue,INR,1,Repairs & Maintenance,Packaging material,86,2150,GST 18%,18,33282,184900,218182,218182,PO-4506,GRN-6276,Technology,Kolkata,VR-2845,Synthetic Zoho-style export
ZB-2054,BILL-2054,2025-10-15,2025-10-30,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Repairs & Maintenance,Packaging material,48,990,GST 18%,18,8553.6,47520,56073.6,0,PO-4318,GRN-5727,Administration,Mumbai,VR-6675,Synthetic Zoho-style export
ZB-2055,BILL-2055,2025-10-04,2025-11-18,VEND-006,FastTrack Transport,33AADCF6666F1Z6,Tamil Nadu,Paid,INR,1,Professional Fees,Packaging material,85,1256,GST 18%,18,19216.8,106760,125976.8,0,PO-5716,GRN-6544,Administration,Delhi,VR-4155,Synthetic Zoho-style export
ZB-2056,BILL-2056,2025-10-20,2025-11-04,VEND-006,FastTrack Transport,33AADCF6666F1Z6,Tamil Nadu,Paid,INR,1,Purchases,Technology service,46,910,GST 18%,18,7534.8,41860,49394.8,0,PO-6571,GRN-6560,Finance,Bengaluru,VR-3315,Synthetic Zoho-style export
ZB-2057,BILL-2057,2025-11-13,2025-11-28,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Overdue,INR,1,Professional Fees,Facility service,13,1977,GST 18%,18,4626.18,25701,30327.18,30327.18,PO-6691,GRN-6109,Sales,Kolkata,VR-1691,Synthetic Zoho-style export
ZB-2058,BILL-2058,2025-11-14,2025-12-29,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Paid,INR,1,Professional Fees,Facility service,61,2642,GST 18%,18,29009.16,161162,190171.16,0,PO-6299,GRN-4402,Sales,Bengaluru,VR-2820,Synthetic Zoho-style export
ZB-2059,BILL-2059,2025-11-04,2025-12-19,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Purchases,Facility service,24,1540,GST 18%,18,6652.8,36960,43612.8,0,PO-6161,GRN-6510,Sales,Mumbai,VR-4644,Synthetic Zoho-style export
ZB-2060,BILL-2060,2025-11-09,2025-12-24,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Paid,INR,1,Repairs & Maintenance,Packaging material,30,2668,GST 18%,18,14407.2,80040,94447.2,0,PO-6724,GRN-4045,Administration,Kolkata,VR-5840,Synthetic Zoho-style export
ZB-2061,BILL-2061,2025-11-16,2025-12-31,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Overdue,INR,1,Repairs & Maintenance,Transport service,71,1877,GST 18%,18,23988.06,133267,157255.06,157255.06,PO-6497,GRN-6155,Technology,Kolkata,VR-2877,Synthetic Zoho-style export
ZB-2062,BILL-2062,2025-11-15,2025-11-30,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Partially Paid,INR,1,Purchases,Facility service,48,1350,GST 18%,18,11664,64800,76464,38232,PO-5400,GRN-6519,Administration,Ahmedabad,VR-5102,Synthetic Zoho-style export
ZB-2063,BILL-2063,2025-11-11,2025-12-26,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Paid,INR,1,Repairs & Maintenance,Technology service,32,1009,GST 18%,18,5811.84,32288,38099.84,0,PO-5528,,Finance,Kolkata,VR-2777,Synthetic Zoho-style export
ZB-2064,BILL-2064,2025-11-19,2025-12-19,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Professional Fees,Transport service,50,2760,GST 18%,18,24840,138000,162840,0,PO-6290,GRN-4510,Administration,Bengaluru,VR-3596,Synthetic Zoho-style export
ZB-2065,BILL-2065,2025-12-12,2026-01-26,VEND-008,Horizon Security,,Gujarat,Paid,INR,1,Purchases,Transport service,74,1322,GST 18%,18,17609.04,97828,115437.04,0,PO-6171,GRN-6738,Finance,Bengaluru,VR-6285,Vendor GSTIN intentionally blank for validation practice
ZB-2066,BILL-2066,2025-12-12,2026-01-26,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Paid,INR,1,Professional Fees,Packaging material,59,1329,GST 18%,18,14113.98,78411,92524.98,0,PO-5663,GRN-4003,Administration,Ahmedabad,VR-9586,Synthetic Zoho-style export
ZB-2067,BILL-2067,2025-12-21,2026-01-05,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Paid,INR,1,Professional Fees,Technology service,24,1595,GST 18%,18,6890.4,38280,45170.4,0,PO-6066,GRN-6072,Administration,Ahmedabad,VR-2992,Synthetic Zoho-style export
ZB-2068,BILL-2068,2025-12-13,2025-12-28,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Overdue,INR,1,Repairs & Maintenance,Transport service,67,1316,GST 18%,18,15870.96,88172,104042.96,104042.96,PO-6561,GRN-5306,Administration,Bengaluru,VR-9242,Synthetic Zoho-style export
ZB-2069,BILL-2069,2025-12-04,2026-01-03,VEND-008,Horizon Security,,Gujarat,Overdue,INR,1,Repairs & Maintenance,Transport service,28,2506,GST 18%,18,12630.24,70168,82798.24,82798.24,PO-4135,GRN-5592,Finance,Delhi,VR-9290,Vendor GSTIN intentionally blank for validation practice
ZB-2070,BILL-2070,2025-12-13,2026-01-27,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Partially Paid,INR,1,Purchases,Transport service,40,2108,GST 18%,18,15177.6,84320,99497.6,49748.8,PO-5710,GRN-4466,Operations,Bengaluru,VR-5703,Synthetic Zoho-style export
ZB-2071,BILL-DUP-01,2025-12-15,2026-01-29,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Partially Paid,INR,1,Purchases,Technology service,55,1136,GST 18%,18,11246.4,62480,73726.4,36863.2,,,Finance,Ahmedabad,VR-8462,Synthetic Zoho-style export
ZB-2072,BILL-DUP-01,2025-12-25,2026-01-24,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Paid,INR,1,Freight & Delivery,Facility service,47,958,GST 18%,18,8104.68,45026,53130.68,0,PO-6960,GRN-5138,Finance,Delhi,VR-5040,Synthetic Zoho-style export
ZB-2073,BILL-2073,2026-01-05,2026-02-04,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Partially Paid,INR,1,Purchases,Packaging material,59,1528,GST 18%,18,16227.36,90152,106379.36,53189.68,PO-4502,GRN-5058,Finance,Delhi,VR-1471,Synthetic Zoho-style export
ZB-2074,BILL-2074,2026-01-09,2026-02-08,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Partially Paid,INR,1,Repairs & Maintenance,Transport service,35,1146,GST 18%,18,7219.8,40110,47329.8,23664.9,PO-6406,GRN-6312,Finance,Kolkata,VR-1465,Synthetic Zoho-style export
ZB-2075,BILL-2075,2026-01-24,2026-03-10,VEND-008,Horizon Security,,Gujarat,Paid,INR,1,Repairs & Maintenance,Technology service,88,2011,GST 18%,18,31854.24,176968,208822.24,0,PO-6772,GRN-5519,Administration,Kolkata,VR-3043,Vendor GSTIN intentionally blank for validation practice
ZB-2076,BILL-2076,2026-01-06,2026-02-20,VEND-006,FastTrack Transport,33AADCF6666F1Z6,Tamil Nadu,Paid,INR,1,Repairs & Maintenance,Technology service,29,1743,GST 18%,18,9098.46,50547,59645.46,0,PO-6710,GRN-5865,Finance,Bengaluru,VR-7298,Synthetic Zoho-style export
ZB-2077,BILL-2077,2026-01-12,2026-01-27,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Paid,INR,1,Repairs & Maintenance,Transport service,47,2613,GST 18%,18,22105.98,122811,144916.98,0,PO-6996,,Finance,Bengaluru,VR-3620,Synthetic Zoho-style export
ZB-2078,BILL-2078,2026-01-16,2026-02-15,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Paid,INR,1,Professional Fees,Packaging material,63,2113,GST 18%,18,23961.42,133119,157080.42,0,PO-6885,GRN-5574,Technology,Ahmedabad,VR-8140,Synthetic Zoho-style export
ZB-2079,BILL-2079,2026-01-18,2026-03-04,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Paid,INR,1,Purchases,Technology service,18,1134,GST 18%,18,3674.16,20412,24086.16,0,PO-6130,GRN-4992,Technology,Kolkata,VR-9733,Synthetic Zoho-style export
ZB-2080,BILL-2080,2026-01-24,2026-02-23,VEND-004,Dyna Services,07AADCD4444D1Z4,Delhi,Paid,INR,1,Purchases,Transport service,26,1699,GST 18%,18,7951.32,44174,52125.32,0,PO-4582,GRN-5634,Technology,Kolkata,VR-6409,Synthetic Zoho-style export
ZB-2081,BILL-2081,2026-02-12,2026-03-29,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Paid,INR,1,Freight & Delivery,Technology service,71,2537,GST 18%,18,32422.86,180127,212549.86,0,PO-5041,GRN-6372,Operations,Kolkata,VR-3275,Synthetic Zoho-style export
ZB-2082,BILL-2082,2026-02-01,2026-02-16,VEND-008,Horizon Security,,Gujarat,Partially Paid,INR,1,Professional Fees,Packaging material,60,2386,GST 18%,18,25768.8,143160,168928.8,84464.4,PO-5639,GRN-4974,Finance,Bengaluru,VR-2129,Vendor GSTIN intentionally blank for validation practice
ZB-2083,BILL-2083,2026-02-15,2026-03-02,VEND-008,Horizon Security,,Gujarat,Paid,INR,1,Purchases,Packaging material,34,2406,GST 18%,18,14724.72,81804,96528.72,0,PO-6976,GRN-6399,Technology,Ahmedabad,VR-6980,Vendor GSTIN intentionally blank for validation practice
ZB-2084,BILL-2084,2026-02-10,2026-03-12,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Overdue,INR,1,Purchases,Facility service,64,2542,GST 18%,18,29283.84,162688,191971.84,191971.84,PO-4507,GRN-5828,Technology,Delhi,VR-9652,Synthetic Zoho-style export
ZB-2085,BILL-2085,2026-02-15,2026-04-01,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Paid,INR,1,Freight & Delivery,Facility service,34,1793,GST 18%,18,10973.16,60962,71935.16,0,PO-6792,GRN-6652,Technology,Bengaluru,VR-2062,Synthetic Zoho-style export
ZB-2086,BILL-2086,2026-02-02,2026-02-17,VEND-004,Dyna Services,07AADCD4444D1Z4,Delhi,Overdue,INR,1,Professional Fees,Facility service,13,1305,GST 18%,18,3053.7,16965,20018.7,20018.7,PO-6118,,Sales,Mumbai,VR-5403,Synthetic Zoho-style export
ZB-2087,BILL-2087,2026-02-20,2026-03-22,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Repairs & Maintenance,Transport service,70,2172,GST 18%,18,27367.2,152040,179407.2,0,PO-6529,GRN-4849,Operations,Ahmedabad,VR-9133,Synthetic Zoho-style export
