Date,Journal Number,Transaction Type,Transaction ID,Reference Number,Account,Account Type,Contact ID,Contact Name,Debit,Credit,Department,Branch,Description
2025-04-05,JRN-9004,Invoice,ZI-1004,INV-1004,Output GST Payable,Other Current Liability,CUST-008,Harbor Mart,0,32014.44,Sales,Ahmedabad,Sales invoice INV-1004
2025-04-24,JRN-9005,Invoice,ZI-1005,INV-1005,Accounts Receivable,Accounts Receivable,CUST-004,Delta Stores Limited,332229,0,Sales,Mumbai,Sales invoice INV-1005
2025-04-24,JRN-9005,Invoice,ZI-1005,INV-1005,Speciality Revenue,Income,CUST-004,Delta Stores Limited,0,281550,Sales,Mumbai,Sales invoice INV-1005
2025-04-24,JRN-9005,Invoice,ZI-1005,INV-1005,Output GST Payable,Other Current Liability,CUST-004,Delta Stores Limited,0,50679,Sales,Mumbai,Sales invoice INV-1005
2025-04-01,JRN-9006,Invoice,ZI-1006,INV-1006,Accounts Receivable,Accounts Receivable,CUST-007,Grand Retailers,105197,0,Sales,Kolkata,Sales invoice INV-1006
2025-04-01,JRN-9006,Invoice,ZI-1006,INV-1006,Packaging Revenue,Income,CUST-007,Grand Retailers,0,89150,Sales,Kolkata,Sales invoice INV-1006
2025-04-01,JRN-9006,Invoice,ZI-1006,INV-1006,Output GST Payable,Other Current Liability,CUST-007,Grand Retailers,0,16047,Sales,Kolkata,Sales invoice INV-1006
2025-04-07,JRN-9007,Invoice,ZI-1007,INV-1007,Accounts Receivable,Accounts Receivable,CUST-005,Eastline Traders,75883.44,0,Sales,Delhi,Sales invoice INV-1007
2025-04-07,JRN-9007,Invoice,ZI-1007,INV-1007,Consumer Goods,Income,CUST-005,Eastline Traders,0,64308,Sales,Delhi,Sales invoice INV-1007
2025-04-07,JRN-9007,Invoice,ZI-1007,INV-1007,Output GST Payable,Other Current Liability,CUST-005,Eastline Traders,0,11575.44,Sales,Delhi,Sales invoice INV-1007
2025-04-06,JRN-9008,Invoice,ZI-1008,INV-1008,Accounts Receivable,Accounts Receivable,CUST-005,Eastline Traders,93909.12,0,Sales,Bengaluru,Sales invoice INV-1008
2025-04-06,JRN-9008,Invoice,ZI-1008,INV-1008,Consumer Goods,Income,CUST-005,Eastline Traders,0,79584,Sales,Bengaluru,Sales invoice INV-1008
2025-04-06,JRN-9008,Invoice,ZI-1008,INV-1008,Output GST Payable,Other Current Liability,CUST-005,Eastline Traders,0,14325.12,Sales,Bengaluru,Sales invoice INV-1008
2025-04-06,JRN-9009,Invoice,ZI-1009,INV-1009,Accounts Receivable,Accounts Receivable,CUST-004,Delta Stores Limited,150945.6,0,Sales,Bengaluru,Sales invoice INV-1009
2025-04-06,JRN-9009,Invoice,ZI-1009,INV-1009,Consumer Goods,Income,CUST-004,Delta Stores Limited,0,127920,Sales,Bengaluru,Sales invoice INV-1009
2025-04-06,JRN-9009,Invoice,ZI-1009,INV-1009,Output GST Payable,Other Current Liability,CUST-004,Delta Stores Limited,0,23025.6,Sales,Bengaluru,Sales invoice INV-1009
2025-04-25,JRN-9010,Invoice,ZI-1010,INV-1010,Accounts Receivable,Accounts Receivable,CUST-008,Harbor Mart,232136.68,0,Sales,Ahmedabad,Sales invoice INV-1010
2025-04-25,JRN-9010,Invoice,ZI-1010,INV-1010,Packaging Revenue,Income,CUST-008,Harbor Mart,0,196726,Sales,Ahmedabad,Sales invoice INV-1010
2025-04-25,JRN-9010,Invoice,ZI-1010,INV-1010,Output GST Payable,Other Current Liability,CUST-008,Harbor Mart,0,35410.68,Sales,Ahmedabad,Sales invoice INV-1010
2025-05-12,JRN-9011,Invoice,ZI-1011,INV-1011,Accounts Receivable,Accounts Receivable,CUST-008,Harbor Mart,85115.76,0,Sales,Bengaluru,Sales invoice INV-1011
2025-05-12,JRN-9011,Invoice,ZI-1011,INV-1011,Consumer Goods,Income,CUST-008,Harbor Mart,0,72132,Sales,Bengaluru,Sales invoice INV-1011
2025-05-12,JRN-9011,Invoice,ZI-1011,INV-1011,Output GST Payable,Other Current Liability,CUST-008,Harbor Mart,0,12983.76,Sales,Bengaluru,Sales invoice INV-1011
2025-05-21,JRN-9012,Invoice,ZI-1012,INV-1012,Accounts Receivable,Accounts Receivable,CUST-009,Indus Stores,118944,0,Sales,Mumbai,Sales invoice INV-1012
2025-05-21,JRN-9012,Invoice,ZI-1012,INV-1012,Consumer Goods,Income,CUST-009,Indus Stores,0,100800,Sales,Mumbai,Sales invoice INV-1012
2025-05-21,JRN-9012,Invoice,ZI-1012,INV-1012,Output GST Payable,Other Current Liability,CUST-009,Indus Stores,0,18144,Sales,Mumbai,Sales invoice INV-1012
2025-05-01,JRN-9013,Invoice,ZI-1013,INV-1013,Accounts Receivable,Accounts Receivable,CUST-008,Harbor Mart,125380.9,0,Sales,Bengaluru,Sales invoice INV-1013
2025-05-01,JRN-9013,Invoice,ZI-1013,INV-1013,Consumer Goods,Income,CUST-008,Harbor Mart,0,106255,Sales,Bengaluru,Sales invoice INV-1013
2025-05-01,JRN-9013,Invoice,ZI-1013,INV-1013,Output GST Payable,Other Current Liability,CUST-008,Harbor Mart,0,19125.9,Sales,Bengaluru,Sales invoice INV-1013
2025-05-23,JRN-9014,Invoice,ZI-1014,INV-1014,Accounts Receivable,Accounts Receivable,CUST-002,BlueMart Limited,241272.24,0,Sales,Delhi,Sales invoice INV-1014
2025-05-23,JRN-9014,Invoice,ZI-1014,INV-1014,Speciality Revenue,Income,CUST-002,BlueMart Limited,0,204468,Sales,Delhi,Sales invoice INV-1014
2025-05-23,JRN-9014,Invoice,ZI-1014,INV-1014,Output GST Payable,Other Current Liability,CUST-002,BlueMart Limited,0,36804.24,Sales,Delhi,Sales invoice INV-1014
2025-05-14,JRN-9015,Invoice,ZI-1015,INV-1015,Accounts Receivable,Accounts Receivable,CUST-006,FreshCart Retail,145186.02,0,Sales,Bengaluru,Sales invoice INV-1015
2025-05-14,JRN-9015,Invoice,ZI-1015,INV-1015,Packaging Revenue,Income,CUST-006,FreshCart Retail,0,123039,Sales,Bengaluru,Sales invoice INV-1015
2025-05-14,JRN-9015,Invoice,ZI-1015,INV-1015,Output GST Payable,Other Current Liability,CUST-006,FreshCart Retail,0,22147.02,Sales,Bengaluru,Sales invoice INV-1015
2025-05-18,JRN-9016,Invoice,ZI-1016,INV-1016,Accounts Receivable,Accounts Receivable,CUST-004,Delta Stores Limited,222923.24,0,Sales,Mumbai,Sales invoice INV-1016
2025-05-18,JRN-9016,Invoice,ZI-1016,INV-1016,Speciality Revenue,Income,CUST-004,Delta Stores Limited,0,188918,Sales,Mumbai,Sales invoice INV-1016
2025-05-18,JRN-9016,Invoice,ZI-1016,INV-1016,Output GST Payable,Other Current Liability,CUST-004,Delta Stores Limited,0,34005.24,Sales,Mumbai,Sales invoice INV-1016
2025-05-10,JRN-9017,Invoice,ZI-1017,INV-1017,Accounts Receivable,Accounts Receivable,CUST-005,Eastline Traders,83119.2,0,Sales,Ahmedabad,Sales invoice INV-1017
2025-05-10,JRN-9017,Invoice,ZI-1017,INV-1017,Packaging Revenue,Income,CUST-005,Eastline Traders,0,70440,Sales,Ahmedabad,Sales invoice INV-1017
2025-05-10,JRN-9017,Invoice,ZI-1017,INV-1017,Output GST Payable,Other Current Liability,CUST-005,Eastline Traders,0,12679.2,Sales,Ahmedabad,Sales invoice INV-1017
2025-05-23,JRN-9018,Invoice,ZI-1018,INV-1018,Accounts Receivable,Accounts Receivable,CUST-003,City Bazaar Pvt Ltd,370498.76,0,Sales,Bengaluru,Sales invoice INV-1018
2025-05-23,JRN-9018,Invoice,ZI-1018,INV-1018,Speciality Revenue,Income,CUST-003,City Bazaar Pvt Ltd,0,313982,Sales,Bengaluru,Sales invoice INV-1018
2025-05-23,JRN-9018,Invoice,ZI-1018,INV-1018,Output GST Payable,Other Current Liability,CUST-003,City Bazaar Pvt Ltd,0,56516.76,Sales,Bengaluru,Sales invoice INV-1018
2025-05-06,JRN-9019,Invoice,ZI-1019,INV-1019,Accounts Receivable,Accounts Receivable,CUST-007,Grand Retailers,134455.1,0,Sales,Bengaluru,Sales invoice INV-1019
2025-05-06,JRN-9019,Invoice,ZI-1019,INV-1019,Industrial Supplies,Income,CUST-007,Grand Retailers,0,113945,Sales,Bengaluru,Sales invoice INV-1019
2025-05-06,JRN-9019,Invoice,ZI-1019,INV-1019,Output GST Payable,Other Current Liability,CUST-007,Grand Retailers,0,20510.1,Sales,Bengaluru,Sales invoice INV-1019
2025-05-18,JRN-9020,Invoice,ZI-1020,INV-1020,Accounts Receivable,Accounts Receivable,CUST-008,Harbor Mart,258405.84,0,Sales,Mumbai,Sales invoice INV-1020
2025-05-18,JRN-9020,Invoice,ZI-1020,INV-1020,Industrial Supplies,Income,CUST-008,Harbor Mart,0,218988,Sales,Mumbai,Sales invoice INV-1020
2025-05-18,JRN-9020,Invoice,ZI-1020,INV-1020,Output GST Payable,Other Current Liability,CUST-008,Harbor Mart,0,39417.84,Sales,Mumbai,Sales invoice INV-1020
2025-06-01,JRN-9021,Invoice,ZI-1021,INV-1021,Accounts Receivable,Accounts Receivable,CUST-010,Jupiter Wholesale,183696.5,0,Sales,Mumbai,Sales invoice INV-1021
2025-06-01,JRN-9021,Invoice,ZI-1021,INV-1021,Industrial Supplies,Income,CUST-010,Jupiter Wholesale,0,155675,Sales,Mumbai,Sales invoice INV-1021
2025-06-01,JRN-9021,Invoice,ZI-1021,INV-1021,Output GST Payable,Other Current Liability,CUST-010,Jupiter Wholesale,0,28021.5,Sales,Mumbai,Sales invoice INV-1021
2025-06-17,JRN-9022,Invoice,ZI-1022,INV-1022,Accounts Receivable,Accounts Receivable,CUST-010,Jupiter Wholesale,284051.96,0,Sales,Bengaluru,Sales invoice INV-1022
2025-06-17,JRN-9022,Invoice,ZI-1022,INV-1022,Speciality Revenue,Income,CUST-010,Jupiter Wholesale,0,240722,Sales,Bengaluru,Sales invoice INV-1022
2025-06-17,JRN-9022,Invoice,ZI-1022,INV-1022,Output GST Payable,Other Current Liability,CUST-010,Jupiter Wholesale,0,43329.96,Sales,Bengaluru,Sales invoice INV-1022
2025-06-16,JRN-9023,Invoice,ZI-1023,INV-1023,Accounts Receivable,Accounts Receivable,CUST-009,Indus Stores,87744.8,0,Sales,Mumbai,Sales invoice INV-1023
2025-06-16,JRN-9023,Invoice,ZI-1023,INV-1023,Consumer Goods,Income,CUST-009,Indus Stores,0,74360,Sales,Mumbai,Sales invoice INV-1023
2025-06-16,JRN-9023,Invoice,ZI-1023,INV-1023,Output GST Payable,Other Current Liability,CUST-009,Indus Stores,0,13384.8,Sales,Mumbai,Sales invoice INV-1023
2025-06-21,JRN-9024,Invoice,ZI-1024,INV-1024,Accounts Receivable,Accounts Receivable,CUST-010,Jupiter Wholesale,78672.96,0,Sales,Delhi,Sales invoice INV-1024
2025-06-21,JRN-9024,Invoice,ZI-1024,INV-1024,Packaging Revenue,Income,CUST-010,Jupiter Wholesale,0,66672,Sales,Delhi,Sales invoice INV-1024
2025-06-21,JRN-9024,Invoice,ZI-1024,INV-1024,Output GST Payable,Other Current Liability,CUST-010,Jupiter Wholesale,0,12000.96,Sales,Delhi,Sales invoice INV-1024
2025-06-23,JRN-9025,Invoice,ZI-1025,INV-1025,Accounts Receivable,Accounts Receivable,CUST-003,City Bazaar Pvt Ltd,262547.64,0,Sales,Ahmedabad,Sales invoice INV-1025
2025-06-23,JRN-9025,Invoice,ZI-1025,INV-1025,Industrial Supplies,Income,CUST-003,City Bazaar Pvt Ltd,0,222498,Sales,Ahmedabad,Sales invoice INV-1025
2025-06-23,JRN-9025,Invoice,ZI-1025,INV-1025,Output GST Payable,Other Current Liability,CUST-003,City Bazaar Pvt Ltd,0,40049.64,Sales,Ahmedabad,Sales invoice INV-1025
2025-06-09,JRN-9026,Invoice,ZI-1026,INV-1026,Accounts Receivable,Accounts Receivable,CUST-002,BlueMart Limited,76487.6,0,Sales,Bengaluru,Sales invoice INV-1026
2025-06-09,JRN-9026,Invoice,ZI-1026,INV-1026,Packaging Revenue,Income,CUST-002,BlueMart Limited,0,64820,Sales,Bengaluru,Sales invoice INV-1026
2025-06-09,JRN-9026,Invoice,ZI-1026,INV-1026,Output GST Payable,Other Current Liability,CUST-002,BlueMart Limited,0,11667.6,Sales,Bengaluru,Sales invoice INV-1026
2025-06-22,JRN-9027,Invoice,ZI-1027,INV-1027,Accounts Receivable,Accounts Receivable,CUST-010,Jupiter Wholesale,152054.8,0,Sales,Bengaluru,Sales invoice INV-1027
2025-06-22,JRN-9027,Invoice,ZI-1027,INV-1027,Consumer Goods,Income,CUST-010,Jupiter Wholesale,0,128860,Sales,Bengaluru,Sales invoice INV-1027
2025-06-22,JRN-9027,Invoice,ZI-1027,INV-1027,Output GST Payable,Other Current Liability,CUST-010,Jupiter Wholesale,0,23194.8,Sales,Bengaluru,Sales invoice INV-1027
2025-06-20,JRN-9028,Invoice,ZI-1028,INV-1028,Accounts Receivable,Accounts Receivable,CUST-002,BlueMart Limited,123790.26,0,Sales,Delhi,Sales invoice INV-1028
2025-06-20,JRN-9028,Invoice,ZI-1028,INV-1028,Packaging Revenue,Income,CUST-002,BlueMart Limited,0,104907,Sales,Delhi,Sales invoice INV-1028
2025-06-20,JRN-9028,Invoice,ZI-1028,INV-1028,Output GST Payable,Other Current Liability,CUST-002,BlueMart Limited,0,18883.26,Sales,Delhi,Sales invoice INV-1028
2025-06-26,JRN-9029,Invoice,ZI-1029,INV-1029,Accounts Receivable,Accounts Receivable,CUST-006,FreshCart Retail,85356.48,0,Sales,Mumbai,Sales invoice INV-1029
2025-06-26,JRN-9029,Invoice,ZI-1029,INV-1029,Industrial Supplies,Income,CUST-006,FreshCart Retail,0,72336,Sales,Mumbai,Sales invoice INV-1029
2025-06-26,JRN-9029,Invoice,ZI-1029,INV-1029,Output GST Payable,Other Current Liability,CUST-006,FreshCart Retail,0,13020.48,Sales,Mumbai,Sales invoice INV-1029
2025-06-02,JRN-9030,Invoice,ZI-1030,INV-1030,Accounts Receivable,Accounts Receivable,CUST-004,Delta Stores Limited,102206.88,0,Sales,Mumbai,Sales invoice INV-1030
2025-06-02,JRN-9030,Invoice,ZI-1030,INV-1030,Consumer Goods,Income,CUST-004,Delta Stores Limited,0,86616,Sales,Mumbai,Sales invoice INV-1030
2025-06-02,JRN-9030,Invoice,ZI-1030,INV-1030,Output GST Payable,Other Current Liability,CUST-004,Delta Stores Limited,0,15590.88,Sales,Mumbai,Sales invoice INV-1030
2025-07-19,JRN-9031,Invoice,ZI-1031,INV-1031,Accounts Receivable,Accounts Receivable,CUST-007,Grand Retailers,74702.26,0,Sales,Ahmedabad,Sales invoice INV-1031
2025-07-19,JRN-9031,Invoice,ZI-1031,INV-1031,Packaging Revenue,Income,CUST-007,Grand Retailers,0,63307,Sales,Ahmedabad,Sales invoice INV-1031
2025-07-19,JRN-9031,Invoice,ZI-1031,INV-1031,Output GST Payable,Other Current Liability,CUST-007,Grand Retailers,0,11395.26,Sales,Ahmedabad,Sales invoice INV-1031
2025-07-03,JRN-9032,Invoice,ZI-1032,INV-1032,Accounts Receivable,Accounts Receivable,CUST-006,FreshCart Retail,210349.16,0,Sales,Kolkata,Sales invoice INV-1032
2025-07-03,JRN-9032,Invoice,ZI-1032,INV-1032,Packaging Revenue,Income,CUST-006,FreshCart Retail,0,178262,Sales,Kolkata,Sales invoice INV-1032
2025-07-03,JRN-9032,Invoice,ZI-1032,INV-1032,Output GST Payable,Other Current Liability,CUST-006,FreshCart Retail,0,32087.16,Sales,Kolkata,Sales invoice INV-1032
2025-07-26,JRN-9033,Invoice,ZI-1033,INV-1033,Accounts Receivable,Accounts Receivable,CUST-006,FreshCart Retail,93328.56,0,Sales,Delhi,Sales invoice INV-1033
2025-07-26,JRN-9033,Invoice,ZI-1033,INV-1033,Speciality Revenue,Income,CUST-006,FreshCart Retail,0,79092,Sales,Delhi,Sales invoice INV-1033
2025-07-26,JRN-9033,Invoice,ZI-1033,INV-1033,Output GST Payable,Other Current Liability,CUST-006,FreshCart Retail,0,14236.56,Sales,Delhi,Sales invoice INV-1033
2025-07-22,JRN-9034,Invoice,ZI-1034,INV-1034,Accounts Receivable,Accounts Receivable,CUST-002,BlueMart Limited,233950.34,0,Sales,Mumbai,Sales invoice INV-1034
2025-07-22,JRN-9034,Invoice,ZI-1034,INV-1034,Packaging Revenue,Income,CUST-002,BlueMart Limited,0,198263,Sales,Mumbai,Sales invoice INV-1034
2025-07-22,JRN-9034,Invoice,ZI-1034,INV-1034,Output GST Payable,Other Current Liability,CUST-002,BlueMart Limited,0,35687.34,Sales,Mumbai,Sales invoice INV-1034
2025-07-09,JRN-9035,Invoice,ZI-1035,INV-1035,Accounts Receivable,Accounts Receivable,CUST-002,BlueMart Limited,163441.8,0,Sales,Kolkata,Sales invoice INV-1035
2025-07-09,JRN-9035,Invoice,ZI-1035,INV-1035,Industrial Supplies,Income,CUST-002,BlueMart Limited,0,138510,Sales,Kolkata,Sales invoice INV-1035
2025-07-09,JRN-9035,Invoice,ZI-1035,INV-1035,Output GST Payable,Other Current Liability,CUST-002,BlueMart Limited,0,24931.8,Sales,Kolkata,Sales invoice INV-1035
2025-07-21,JRN-9036,Invoice,ZI-1036,INV-1036,Accounts Receivable,Accounts Receivable,CUST-010,Jupiter Wholesale,234312.6,0,Sales,Bengaluru,Sales invoice INV-1036
2025-07-21,JRN-9036,Invoice,ZI-1036,INV-1036,Speciality Revenue,Income,CUST-010,Jupiter Wholesale,0,198570,Sales,Bengaluru,Sales invoice INV-1036
2025-07-21,JRN-9036,Invoice,ZI-1036,INV-1036,Output GST Payable,Other Current Liability,CUST-010,Jupiter Wholesale,0,35742.6,Sales,Bengaluru,Sales invoice INV-1036
2025-07-06,JRN-9037,Invoice,ZI-1037,INV-1037,Accounts Receivable,Accounts Receivable,CUST-006,FreshCart Retail,226989.52,0,Sales,Bengaluru,Sales invoice INV-1037
2025-07-06,JRN-9037,Invoice,ZI-1037,INV-1037,Industrial Supplies,Income,CUST-006,FreshCart Retail,0,192364,Sales,Bengaluru,Sales invoice INV-1037
2025-07-06,JRN-9037,Invoice,ZI-1037,INV-1037,Output GST Payable,Other Current Liability,CUST-006,FreshCart Retail,0,34625.52,Sales,Bengaluru,Sales invoice INV-1037
2025-07-13,JRN-9038,Invoice,ZI-1038,INV-1038,Accounts Receivable,Accounts Receivable,CUST-010,Jupiter Wholesale,141038.32,0,Sales,Mumbai,Sales invoice INV-1038
2025-07-13,JRN-9038,Invoice,ZI-1038,INV-1038,Packaging Revenue,Income,CUST-010,Jupiter Wholesale,0,119524,Sales,Mumbai,Sales invoice INV-1038
2025-07-13,JRN-9038,Invoice,ZI-1038,INV-1038,Output GST Payable,Other Current Liability,CUST-010,Jupiter Wholesale,0,21514.32,Sales,Mumbai,Sales invoice INV-1038
2025-07-03,JRN-9039,Invoice,ZI-1039,INV-1039,Accounts Receivable,Accounts Receivable,CUST-002,BlueMart Limited,61139.34,0,Sales,Delhi,Sales invoice INV-1039
2025-07-03,JRN-9039,Invoice,ZI-1039,INV-1039,Packaging Revenue,Income,CUST-002,BlueMart Limited,0,51813,Sales,Delhi,Sales invoice INV-1039
2025-07-03,JRN-9039,Invoice,ZI-1039,INV-1039,Output GST Payable,Other Current Liability,CUST-002,BlueMart Limited,0,9326.34,Sales,Delhi,Sales invoice INV-1039
2025-07-25,JRN-9040,Invoice,ZI-1040,INV-1040,Accounts Receivable,Accounts Receivable,CUST-002,BlueMart Limited,146393.16,0,Sales,Bengaluru,Sales invoice INV-1040
2025-07-25,JRN-9040,Invoice,ZI-1040,INV-1040,Industrial Supplies,Income,CUST-002,BlueMart Limited,0,124062,Sales,Bengaluru,Sales invoice INV-1040
2025-07-25,JRN-9040,Invoice,ZI-1040,INV-1040,Output GST Payable,Other Current Liability,CUST-002,BlueMart Limited,0,22331.16,Sales,Bengaluru,Sales invoice INV-1040
2025-08-18,JRN-9041,Invoice,ZI-1041,INV-1041,Accounts Receivable,Accounts Receivable,CUST-004,Delta Stores Limited,344017.2,0,Sales,Ahmedabad,Sales invoice INV-1041
2025-08-18,JRN-9041,Invoice,ZI-1041,INV-1041,Speciality Revenue,Income,CUST-004,Delta Stores Limited,0,291540,Sales,Ahmedabad,Sales invoice INV-1041
2025-08-18,JRN-9041,Invoice,ZI-1041,INV-1041,Output GST Payable,Other Current Liability,CUST-004,Delta Stores Limited,0,52477.2,Sales,Ahmedabad,Sales invoice INV-1041
2025-08-14,JRN-9042,Invoice,ZI-1042,INV-1042,Accounts Receivable,Accounts Receivable,CUST-002,BlueMart Limited,249909.84,0,Sales,Bengaluru,Sales invoice INV-1042
2025-08-14,JRN-9042,Invoice,ZI-1042,INV-1042,Packaging Revenue,Income,CUST-002,BlueMart Limited,0,211788,Sales,Bengaluru,Sales invoice INV-1042
2025-08-14,JRN-9042,Invoice,ZI-1042,INV-1042,Output GST Payable,Other Current Liability,CUST-002,BlueMart Limited,0,38121.84,Sales,Bengaluru,Sales invoice INV-1042
2025-08-06,JRN-9043,Invoice,ZI-1043,INV-1043,Accounts Receivable,Accounts Receivable,CUST-006,FreshCart Retail,116703.18,0,Sales,Ahmedabad,Sales invoice INV-1043
2025-08-06,JRN-9043,Invoice,ZI-1043,INV-1043,Consumer Goods,Income,CUST-006,FreshCart Retail,0,98901,Sales,Ahmedabad,Sales invoice INV-1043
2025-08-06,JRN-9043,Invoice,ZI-1043,INV-1043,Output GST Payable,Other Current Liability,CUST-006,FreshCart Retail,0,17802.18,Sales,Ahmedabad,Sales invoice INV-1043
2025-08-14,JRN-9044,Invoice,ZI-1044,INV-1044,Accounts Receivable,Accounts Receivable,CUST-004,Delta Stores Limited,109754.16,0,Sales,Mumbai,Sales invoice INV-1044
2025-08-14,JRN-9044,Invoice,ZI-1044,INV-1044,Consumer Goods,Income,CUST-004,Delta Stores Limited,0,93012,Sales,Mumbai,Sales invoice INV-1044
2025-08-14,JRN-9044,Invoice,ZI-1044,INV-1044,Output GST Payable,Other Current Liability,CUST-004,Delta Stores Limited,0,16742.16,Sales,Mumbai,Sales invoice INV-1044
2025-08-18,JRN-9045,Invoice,ZI-1045,INV-1045,Accounts Receivable,Accounts Receivable,CUST-009,Indus Stores,139986.94,0,Sales,Mumbai,Sales invoice INV-1045
2025-08-18,JRN-9045,Invoice,ZI-1045,INV-1045,Packaging Revenue,Income,CUST-009,Indus Stores,0,118633,Sales,Mumbai,Sales invoice INV-1045
2025-08-18,JRN-9045,Invoice,ZI-1045,INV-1045,Output GST Payable,Other Current Liability,CUST-009,Indus Stores,0,21353.94,Sales,Mumbai,Sales invoice INV-1045
2025-08-07,JRN-9046,Invoice,ZI-1046,INV-1046,Accounts Receivable,Accounts Receivable,CUST-001,Apex Retail Pvt Ltd,148658.76,0,Sales,Mumbai,Sales invoice INV-1046
2025-08-07,JRN-9046,Invoice,ZI-1046,INV-1046,Industrial Supplies,Income,CUST-001,Apex Retail Pvt Ltd,0,125982,Sales,Mumbai,Sales invoice INV-1046
2025-08-07,JRN-9046,Invoice,ZI-1046,INV-1046,Output GST Payable,Other Current Liability,CUST-001,Apex Retail Pvt Ltd,0,22676.76,Sales,Mumbai,Sales invoice INV-1046
2025-08-19,JRN-9047,Invoice,ZI-1047,INV-1047,Accounts Receivable,Accounts Receivable,CUST-001,Apex Retail Pvt Ltd,149022.2,0,Sales,Kolkata,Sales invoice INV-1047
2025-08-19,JRN-9047,Invoice,ZI-1047,INV-1047,Packaging Revenue,Income,CUST-001,Apex Retail Pvt Ltd,0,126290,Sales,Kolkata,Sales invoice INV-1047
2025-08-19,JRN-9047,Invoice,ZI-1047,INV-1047,Output GST Payable,Other Current Liability,CUST-001,Apex Retail Pvt Ltd,0,22732.2,Sales,Kolkata,Sales invoice INV-1047
2025-08-07,JRN-9048,Invoice,ZI-1048,INV-1048,Accounts Receivable,Accounts Receivable,CUST-003,City Bazaar Pvt Ltd,227799,0,Sales,Kolkata,Sales invoice INV-1048
2025-08-07,JRN-9048,Invoice,ZI-1048,INV-1048,Packaging Revenue,Income,CUST-003,City Bazaar Pvt Ltd,0,193050,Sales,Kolkata,Sales invoice INV-1048
2025-08-07,JRN-9048,Invoice,ZI-1048,INV-1048,Output GST Payable,Other Current Liability,CUST-003,City Bazaar Pvt Ltd,0,34749,Sales,Kolkata,Sales invoice INV-1048
2025-08-03,JRN-9049,Invoice,ZI-1049,INV-1049,Accounts Receivable,Accounts Receivable,CUST-003,City Bazaar Pvt Ltd,219451.68,0,Sales,Mumbai,Sales invoice INV-1049
2025-08-03,JRN-9049,Invoice,ZI-1049,INV-1049,Industrial Supplies,Income,CUST-003,City Bazaar Pvt Ltd,0,185976,Sales,Mumbai,Sales invoice INV-1049
2025-08-03,JRN-9049,Invoice,ZI-1049,INV-1049,Output GST Payable,Other Current Liability,CUST-003,City Bazaar Pvt Ltd,0,33475.68,Sales,Mumbai,Sales invoice INV-1049
2025-08-23,JRN-9050,Invoice,ZI-1050,INV-1050,Accounts Receivable,Accounts Receivable,CUST-006,FreshCart Retail,143688.6,0,Sales,Mumbai,Sales invoice INV-1050
2025-08-23,JRN-9050,Invoice,ZI-1050,INV-1050,Consumer Goods,Income,CUST-006,FreshCart Retail,0,121770,Sales,Mumbai,Sales invoice INV-1050
2025-08-23,JRN-9050,Invoice,ZI-1050,INV-1050,Output GST Payable,Other Current Liability,CUST-006,FreshCart Retail,0,21918.6,Sales,Mumbai,Sales invoice INV-1050
2025-09-15,JRN-9051,Invoice,ZI-1051,INV-1051,Accounts Receivable,Accounts Receivable,CUST-009,Indus Stores,172138.4,0,Sales,Ahmedabad,Sales invoice INV-1051
