Payment ID,Payment Number,Payment Date,Customer ID,Customer Name,Invoice ID,Invoice Number,Amount Applied,Currency Code,Payment Mode,Reference Number,Deposit To,Unused Amount,Branch,Notes
ZCP-5084,PAY-5084,2026-03-08,CUST-003,City Bazaar Pvt Ltd,ZI-1101,INV-1101,108309.84,INR,UPI,UTR11200138,HDFC Bank Current A/c,0,Bengaluru,Payment applied to invoice
ZCP-5085,PAY-5085,2026-03-17,CUST-007,Grand Retailers,ZI-1102,INV-1102,363204,INR,Cheque,UTR99059458,HDFC Bank Current A/c,0,Mumbai,Payment applied to invoice
ZCP-5086,PAY-5086,2026-03-31,CUST-009,Indus Stores,ZI-1103,INV-1103,171081.12,INR,UPI,UTR12805154,ICICI Bank Current A/c,0,Kolkata,Payment applied to invoice
ZCP-5087,PAY-5087,2026-03-15,CUST-002,BlueMart Limited,ZI-1104,INV-1104,65539.56,INR,UPI,UTR28376709,HDFC Bank Current A/c,0,Delhi,Payment applied to invoice
ZCP-5088,PAY-5088,2026-03-30,CUST-004,Delta Stores Limited,ZI-1105,INV-1105,128104.34,INR,Bank Transfer,UTR43871811,ICICI Bank Current A/c,0,Bengaluru,Payment applied to invoice
ZCP-5089,PAY-5089,2026-03-14,CUST-003,City Bazaar Pvt Ltd,ZI-1106,INV-1106,100453.4,INR,Cheque,UTR57671349,ICICI Bank Current A/c,0,Delhi,Payment applied to invoice
ZCP-5090,PAY-5090,2026-03-28,CUST-001,Apex Retail Pvt Ltd,ZI-1107,INV-1107,46267.8,INR,UPI,UTR16564416,HDFC Bank Current A/c,0,Ahmedabad,Payment applied to invoice
ZCP-5091,PAY-5091,2026-02-23,CUST-001,Apex Retail Pvt Ltd,ZI-1108,INV-1108,191943.52,INR,Cheque,UTR23873308,HDFC Bank Current A/c,0,Mumbai,Payment applied to invoice
ZCP-5092,PAY-5092,2026-02-26,CUST-004,Delta Stores Limited,ZI-1109,INV-1109,220680.06,INR,Cheque,UTR97578525,ICICI Bank Current A/c,0,Bengaluru,Payment applied to invoice
ZCP-5093,PAY-5093,2026-03-25,CUST-002,BlueMart Limited,ZI-1110,INV-1110,77970.86,INR,Bank Transfer,UTR18443769,HDFC Bank Current A/c,0,Ahmedabad,Payment applied to invoice
ZCP-5094,PAY-5094,2026-03-22,CUST-005,Eastline Traders,ZI-1111,INV-1111,163807.6,INR,Cheque,UTR78140946,HDFC Bank Current A/c,0,Mumbai,Payment applied to invoice
ZCP-5095,PAY-5095,2026-03-23,CUST-002,BlueMart Limited,ZI-1113,INV-1113,187835.94,INR,UPI,UTR30685817,ICICI Bank Current A/c,0,Delhi,Payment applied to invoice
ZCP-5096,PAY-5096,2026-03-30,CUST-009,Indus Stores,ZI-1114,INV-1114,159977.32,INR,Cheque,UTR56840405,ICICI Bank Current A/c,0,Delhi,Payment applied to invoice
ZCP-5097,PAY-5097,2026-03-16,CUST-004,Delta Stores Limited,ZI-1115,INV-1115,148764.96,INR,UPI,UTR53527451,HDFC Bank Current A/c,0,Mumbai,Payment applied to invoice
ZCP-5098,PAY-5098,2026-03-28,CUST-005,Eastline Traders,ZI-1116,INV-1116,152268.14,INR,UPI,UTR92873572,ICICI Bank Current A/c,0,Delhi,Payment applied to invoice
ZCP-5099,PAY-5099,2026-03-21,CUST-001,Apex Retail Pvt Ltd,ZI-1117,INV-1117,29955.48,INR,Cheque,UTR60765151,ICICI Bank Current A/c,0,Mumbai,Payment applied to invoice
ZCP-5100,PAY-5100,2026-03-24,CUST-005,Eastline Traders,ZI-1118,INV-1118,160843.44,INR,Cheque,UTR67473337,ICICI Bank Current A/c,0,Kolkata,Payment applied to invoice
ZCP-5101,PAY-5101,2026-03-24,CUST-008,Harbor Mart,ZI-1119,INV-1119,121242.64,INR,UPI,UTR48279045,ICICI Bank Current A/c,0,Kolkata,Payment applied to invoice
ZCP-5102,PAY-5102,2026-03-30,CUST-009,Indus Stores,ZI-1120,INV-1120,130976.34,INR,Cheque,UTR84097954,HDFC Bank Current A/c,0,Delhi,Payment applied to invoice
