Payment ID,Payment Number,Payment Date,Vendor ID,Vendor Name,Bill ID,Bill Number,Amount Applied,Currency Code,Payment Mode,Reference Number,Paid Through,Branch,Notes
ZVP-6036,VPAY-6036,2025-10-09,VEND-008,Horizon Security,ZB-2046,BILL-2046,80255.34,INR,Bank Transfer,UTR15584763,ICICI Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6037,VPAY-6037,2025-09-30,VEND-003,Crest Logistics,ZB-2047,BILL-2047,28659.84,INR,Bank Transfer,UTR31568325,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6038,VPAY-6038,2025-09-24,VEND-001,Alpha Supplies Pvt Ltd,ZB-2048,BILL-2048,20694.84,INR,Bank Transfer,UTR99325330,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6039,VPAY-6039,2025-11-19,VEND-007,Global Packaging,ZB-2049,BILL-2049,72545.22,INR,Cheque,UTR82634943,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6040,VPAY-6040,2025-12-06,VEND-002,BoxPro Materials,ZB-2050,BILL-2050,11844.84,INR,Cheque,UTR38964265,HDFC Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6041,VPAY-6041,2025-11-21,VEND-005,Evergreen Technologies,ZB-2051,BILL-2051,51188.4,INR,Cheque,UTR98228708,ICICI Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6042,VPAY-6042,2025-11-15,VEND-001,Alpha Supplies Pvt Ltd,ZB-2052,BILL-2052,181040.32,INR,Cheque,UTR63554323,ICICI Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6043,VPAY-6043,2025-10-26,VEND-001,Alpha Supplies Pvt Ltd,ZB-2054,BILL-2054,56073.6,INR,Cheque,UTR70594738,HDFC Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6044,VPAY-6044,2025-11-03,VEND-006,FastTrack Transport,ZB-2055,BILL-2055,125976.8,INR,Bank Transfer,UTR91977497,HDFC Bank Current A/c,Delhi,Payment applied to bill
ZVP-6045,VPAY-6045,2025-11-24,VEND-006,FastTrack Transport,ZB-2056,BILL-2056,49394.8,INR,Cheque,UTR82617282,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6046,VPAY-6046,2025-12-20,VEND-002,BoxPro Materials,ZB-2058,BILL-2058,190171.16,INR,Bank Transfer,UTR13527659,HDFC Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6047,VPAY-6047,2025-11-12,VEND-001,Alpha Supplies Pvt Ltd,ZB-2059,BILL-2059,43612.8,INR,Bank Transfer,UTR16751126,HDFC Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6048,VPAY-6048,2025-12-01,VEND-007,Global Packaging,ZB-2060,BILL-2060,94447.2,INR,Bank Transfer,UTR92769891,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6049,VPAY-6049,2026-01-02,VEND-001,Alpha Supplies Pvt Ltd,ZB-2062,BILL-2062,38232,INR,Cheque,UTR60600761,HDFC Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6050,VPAY-6050,2025-12-18,VEND-003,Crest Logistics,ZB-2063,BILL-2063,38099.84,INR,Bank Transfer,UTR22256014,ICICI Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6051,VPAY-6051,2025-12-23,VEND-001,Alpha Supplies Pvt Ltd,ZB-2064,BILL-2064,162840,INR,Bank Transfer,UTR35487674,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6052,VPAY-6052,2025-12-25,VEND-008,Horizon Security,ZB-2065,BILL-2065,115437.04,INR,Cheque,UTR53644262,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6053,VPAY-6053,2026-01-12,VEND-002,BoxPro Materials,ZB-2066,BILL-2066,92524.98,INR,Cheque,UTR90844949,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6054,VPAY-6054,2026-01-28,VEND-002,BoxPro Materials,ZB-2067,BILL-2067,45170.4,INR,Cheque,UTR81232899,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6055,VPAY-6055,2026-01-19,VEND-003,Crest Logistics,ZB-2070,BILL-2070,49748.8,INR,Cheque,UTR39625973,HDFC Bank Current A/c,Delhi,Payment applied to bill
ZVP-6056,VPAY-6056,2025-12-24,VEND-007,Global Packaging,ZB-2071,BILL-DUP-01,36863.2,INR,Bank Transfer,UTR16365790,ICICI Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6057,VPAY-6057,2026-02-10,VEND-003,Crest Logistics,ZB-2072,BILL-DUP-01,53130.68,INR,Cheque,UTR27027342,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6058,VPAY-6058,2026-02-08,VEND-005,Evergreen Technologies,ZB-2073,BILL-2073,53189.68,INR,Bank Transfer,UTR58076758,ICICI Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6059,VPAY-6059,2026-01-18,VEND-003,Crest Logistics,ZB-2074,BILL-2074,23664.9,INR,Cheque,UTR83218970,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6060,VPAY-6060,2026-02-17,VEND-008,Horizon Security,ZB-2075,BILL-2075,208822.24,INR,Cheque,UTR19347575,HDFC Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6061,VPAY-6061,2026-02-05,VEND-006,FastTrack Transport,ZB-2076,BILL-2076,59645.46,INR,Bank Transfer,UTR64270062,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6062,VPAY-6062,2026-02-06,VEND-007,Global Packaging,ZB-2077,BILL-2077,144916.98,INR,Cheque,UTR11710502,ICICI Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6063,VPAY-6063,2026-01-25,VEND-002,BoxPro Materials,ZB-2078,BILL-2078,157080.42,INR,Cheque,UTR99151951,ICICI Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6064,VPAY-6064,2026-03-04,VEND-005,Evergreen Technologies,ZB-2079,BILL-2079,24086.16,INR,Bank Transfer,UTR48027104,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6065,VPAY-6065,2026-03-15,VEND-004,Dyna Services,ZB-2080,BILL-2080,52125.32,INR,Cheque,UTR16384011,ICICI Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6066,VPAY-6066,2026-03-28,VEND-005,Evergreen Technologies,ZB-2081,BILL-2081,212549.86,INR,Bank Transfer,UTR68903757,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6067,VPAY-6067,2026-02-11,VEND-008,Horizon Security,ZB-2082,BILL-2082,84464.4,INR,Cheque,UTR47421089,ICICI Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6068,VPAY-6068,2026-03-11,VEND-008,Horizon Security,ZB-2083,BILL-2083,96528.72,INR,Bank Transfer,UTR98954814,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6069,VPAY-6069,2026-03-08,VEND-003,Crest Logistics,ZB-2085,BILL-2085,71935.16,INR,Bank Transfer,UTR59712130,HDFC Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6070,VPAY-6070,2026-03-25,VEND-001,Alpha Supplies Pvt Ltd,ZB-2087,BILL-2087,179407.2,INR,Cheque,UTR28449893,ICICI Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6071,VPAY-6071,2026-02-24,VEND-002,BoxPro Materials,ZB-2088,BILL-2088,78145.5,INR,Cheque,UTR89799956,HDFC Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6072,VPAY-6072,2026-03-25,VEND-008,Horizon Security,ZB-2089,BILL-2089,16154.2,INR,Cheque,UTR45074453,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6073,VPAY-6073,2026-03-31,VEND-008,Horizon Security,ZB-2090,BILL-2090,35656.06,INR,Cheque,UTR94638967,HDFC Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6074,VPAY-6074,2026-03-18,VEND-002,BoxPro Materials,ZB-2091,BILL-2091,42931.35,INR,Cheque,UTR84367696,HDFC Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6075,VPAY-6075,2026-03-31,VEND-006,FastTrack Transport,ZB-2092,BILL-2092,17756.64,INR,Bank Transfer,UTR24511250,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6076,VPAY-6076,2026-03-18,VEND-003,Crest Logistics,ZB-2093,BILL-2093,173330.2,INR,Cheque,UTR25410149,ICICI Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6077,VPAY-6077,2026-03-28,VEND-007,Global Packaging,ZB-2095,BILL-2095,72739.92,INR,Bank Transfer,UTR96646190,HDFC Bank Current A/c,Kolkata,Payment applied to bill
